"","x"
"605",2018-08-28
"606",2018-08-29
"607",2018-08-30
"608",2018-08-31
"609",2018-09-01
"610",2018-09-02
"611",2018-09-03
"612",2018-09-04
"613",2018-09-05
"614",2018-09-06
"615",2018-09-07
"616",2018-09-08
"617",2018-09-09
"618",2018-09-10
"619",2018-09-11
"620",2018-09-12
"621",2018-09-13
"622",2018-09-14
"623",2018-09-15
"624",2018-09-16
"625",2018-09-17
"626",2018-09-18
"627",2018-09-19
"628",2018-09-20
"629",2018-09-21
"630",2018-09-22
"631",2018-09-23
"632",2018-09-24
"633",2018-09-25
"634",2018-09-26
"635",2018-09-27
"636",2018-09-28
"637",2018-09-29
"638",2018-09-30
"639",2018-10-01
"640",2018-10-02
"641",2018-10-03
"642",2018-10-04
"643",2018-10-05
"644",2018-10-06
"645",2018-10-07
"646",2018-10-08
"647",2018-10-09
"648",2018-10-10
"649",2018-10-11
"650",2018-10-12
"651",2018-10-13
"652",2018-10-14
"653",2018-10-15
"654",2018-10-16
"655",2018-10-17
"656",2018-10-18
"657",2018-10-19
"658",2018-10-20
"659",2018-10-21
"660",2018-10-22
"661",2018-10-23
"662",2018-10-24
"663",2018-10-25
"664",2018-10-26
"665",2018-10-27
"666",2018-10-28
"667",2018-10-29
"668",2018-10-30
"669",2018-10-31
"670",2018-11-01
"671",2018-11-02
"672",2018-11-03
"673",2018-11-04
"674",2018-11-05
"675",2018-11-06
"676",2018-11-07
"677",2018-11-08
"678",2018-11-09
"679",2018-11-10
"680",2018-11-11
"681",2018-11-12
"682",2018-11-13
"683",2018-11-14
"684",2018-11-15
"685",2018-11-16
"686",2018-11-17
"687",2018-11-18
"688",2018-11-19
"689",2018-11-20
"690",2018-11-21
"691",2018-11-22
"692",2018-11-23
"693",2018-11-24
"694",2018-11-25
"695",2018-11-26
"696",2018-11-27
"697",2018-11-28
"698",2018-11-29
"699",2018-11-30
"700",2018-12-01
"701",2018-12-02
"702",2018-12-03
"703",2018-12-04
"704",2018-12-05
"705",2018-12-06
"706",2018-12-07
"707",2018-12-08
"708",2018-12-09
"709",2018-12-10
"710",2018-12-11
"711",2018-12-12
"712",2018-12-13
"713",2018-12-14
"714",2018-12-15
"715",2018-12-16
"716",2018-12-17
"717",2018-12-18
"718",2018-12-19
"719",2018-12-20
"720",2018-12-21
"721",2018-12-22
"722",2018-12-23
"723",2018-12-24
"724",2018-12-25
"725",2018-12-26
"726",2018-12-27
"727",2018-12-28
"728",2018-12-29
"729",2018-12-30
"730",2018-12-31
"731",2019-01-01
"732",2019-01-02
"733",2019-01-03
"734",2019-01-04
"735",2019-01-05
"736",2019-01-06
"737",2019-01-07
"738",2019-01-08
"739",2019-01-09
"740",2019-01-10
"741",2019-01-11
"742",2019-01-12
"743",2019-01-13
"744",2019-01-14
"745",2019-01-15
"746",2019-01-16
"747",2019-01-17
"748",2019-01-18
"749",2019-01-19
"750",2019-01-20
"751",2019-01-21
"752",2019-01-22
"753",2019-01-23
"754",2019-01-24
"755",2019-01-25
"756",2019-01-26
"757",2019-01-27
"758",2019-01-28
"759",2019-01-29
"760",2019-01-30
"761",2019-01-31
"762",2019-02-01
"763",2019-02-02
"764",2019-02-03
"765",2019-02-04
"766",2019-02-05
"767",2019-02-06
"768",2019-02-07
"769",2019-02-08
"770",2019-02-09
"771",2019-02-10
"772",2019-02-11
"773",2019-02-12
"774",2019-02-13
"775",2019-02-14
"776",2019-02-15
"777",2019-02-16
"778",2019-02-17
"779",2019-02-18
"780",2019-02-19
"781",2019-02-20
"782",2019-02-21
"783",2019-02-22
"784",2019-02-23
"785",2019-02-24
"786",2019-02-25
"787",2019-02-26
"788",2019-02-27
"789",2019-02-28
"790",2019-03-01
"791",2019-03-02
"792",2019-03-03
"793",2019-03-04
"794",2019-03-05
"795",2019-03-06
"796",2019-03-07
"797",2019-03-08
"798",2019-03-09
"799",2019-03-10
"800",2019-03-11
"801",2019-03-12
"802",2019-03-13
"803",2019-03-14
"804",2019-03-15
"805",2019-03-16
"806",2019-03-17
"807",2019-03-18
"808",2019-03-19
"809",2019-03-20
"810",2019-03-21
"811",2019-03-22
"812",2019-03-23
"813",2019-03-24
"814",2019-03-25
"815",2019-03-26
"816",2019-03-27
"817",2019-03-28
"818",2019-03-29
"819",2019-03-30
"820",2019-03-31
"821",2019-04-01
"822",2019-04-02
"823",2019-04-03
"824",2019-04-04
"825",2019-04-05
"826",2019-04-06
"827",2019-04-07
"828",2019-04-08
"829",2019-04-09
"830",2019-04-10
"831",2019-04-11
"832",2019-04-12
"833",2019-04-13
"834",2019-04-14
"835",2019-04-15
"836",2019-04-16
"837",2019-04-17
"838",2019-04-18
"839",2019-04-19
"840",2019-04-20
"841",2019-04-21
"842",2019-04-22
"843",2019-04-23
"844",2019-04-24
"845",2019-04-25
"846",2019-04-26
"847",2019-04-27
"848",2019-04-28
"849",2019-04-29
"850",2019-04-30
"851",2019-05-01
"852",2019-05-02
"853",2019-05-03
"854",2019-05-04
"855",2019-05-05
"856",2019-05-06
"857",2019-05-07
"858",2019-05-08
"859",2019-05-09
"860",2019-05-10
"861",2019-05-11
"862",2019-05-12
"863",2019-05-13
"864",2019-05-14
"865",2019-05-15
"866",2019-05-16
"867",2019-05-17
"868",2019-05-18
"869",2019-05-19
"870",2019-05-20
"871",2019-05-21
"872",2019-05-22
"873",2019-05-23
"874",2019-05-24
"875",2019-05-25
"876",2019-05-26
"877",2019-05-27
"878",2019-05-28
"879",2019-05-29
"880",2019-05-30
"881",2019-05-31
"882",2019-06-01
"883",2019-06-02
"884",2019-06-03
"885",2019-06-04
"886",2019-06-05
"887",2019-06-06
"888",2019-06-07
"889",2019-06-08
"890",2019-06-09
"891",2019-06-10
"892",2019-06-11
"893",2019-06-12
"894",2019-06-13
"895",2019-06-14
"896",2019-06-15
"897",2019-06-16
"898",2019-06-17
"899",2019-06-18
"900",2019-06-19
"901",2019-06-20
"902",2019-06-21
"903",2019-06-22
"904",2019-06-23
"905",2019-06-24
"906",2019-06-25
"907",2019-06-26
"908",2019-06-27
"909",2019-06-28
"910",2019-06-29
"911",2019-06-30
"912",2019-07-01
"913",2019-07-02
"914",2019-07-03
"915",2019-07-04
"916",2019-07-05
"917",2019-07-06
"918",2019-07-07
"919",2019-07-08
"920",2019-07-09
"921",2019-07-10
"922",2019-07-11
"923",2019-07-12
"924",2019-07-13
"925",2019-07-14
"926",2019-07-15
"927",2019-07-16
"928",2019-07-17
"929",2019-07-18
"930",2019-07-19
"931",2019-07-20
"932",2019-07-21
"933",2019-07-22
"934",2019-07-23
"935",2019-07-24
"936",2019-07-25
"937",2019-07-26
"938",2019-07-27
"939",2019-07-28
"940",2019-07-29
"941",2019-07-30
"942",2019-07-31
"943",2019-08-01
"944",2019-08-02
"945",2019-08-03
"946",2019-08-04
"947",2019-08-05
"948",2019-08-06
"949",2019-08-07
"950",2019-08-08
"951",2019-08-09
"952",2019-08-10
"953",2019-08-11
"954",2019-08-12
"955",2019-08-13
"956",2019-08-14
"957",2019-08-15
"958",2019-08-16
"959",2019-08-17
"960",2019-08-18
"961",2019-08-19
"962",2019-08-20
"963",2019-08-21
"964",2019-08-22
"965",2019-08-23
"966",2019-08-24
"967",2019-08-25
"968",2019-08-26
"969",2019-08-27
"970",2019-08-28
"971",2019-08-29
"972",2019-08-30
"973",2019-08-31
"974",2019-09-01
"975",2019-09-02
"976",2019-09-03
"977",2019-09-04
"978",2019-09-05
"979",2019-09-06
"980",2019-09-07
"981",2019-09-08
"982",2019-09-09
"983",2019-09-10
"984",2019-09-11
"985",2019-09-12
"986",2019-09-13
"987",2019-09-14
"988",2019-09-15
"989",2019-09-16
"990",2019-09-17
"991",2019-09-18
"992",2019-09-19
"993",2019-09-20
"994",2019-09-21
"995",2019-09-22
"996",2019-09-23
"997",2019-09-24
"998",2019-09-25
"999",2019-09-26
"1000",2019-09-27
"1001",2019-09-28
"1002",2019-09-29
"1003",2019-09-30
"1004",2019-10-01
"1005",2019-10-02
"1006",2019-10-03
"1007",2019-10-04
"1008",2019-10-05
"1009",2019-10-06
"1010",2019-10-07
"1011",2019-10-08
"1012",2019-10-09
"1013",2019-10-10
"1014",2019-10-11
"1015",2019-10-12
"1016",2019-10-13
"1017",2019-10-14
"1018",2019-10-15
"1019",2019-10-16
"1020",2019-10-17
"1021",2019-10-18
"1022",2019-10-19
"1023",2019-10-20
"1024",2019-10-21
"1025",2019-10-22
"1026",2019-10-23
"1027",2019-10-24
"1028",2019-10-25
"1029",2019-10-26
"1030",2019-10-27
"1031",2019-10-28
"1032",2019-10-29
"1033",2019-10-30
"1034",2019-10-31
"1035",2019-11-01
"1036",2019-11-02
"1037",2019-11-03
"1038",2019-11-04
"1039",2019-11-05
"1040",2019-11-06
"1041",2019-11-07
"1042",2019-11-08
"1043",2019-11-09
"1044",2019-11-10
"1045",2019-11-11
"1046",2019-11-12
"1047",2019-11-13
"1048",2019-11-14
"1049",2019-11-15
"1050",2019-11-16
"1051",2019-11-17
"1052",2019-11-18
"1053",2019-11-19
"1054",2019-11-20
"1055",2019-11-21
"1056",2019-11-22
"1057",2019-11-23
"1058",2019-11-24
"1059",2019-11-25
"1060",2019-11-26
"1061",2019-11-27
"1062",2019-11-28
"1063",2019-11-29
"1064",2019-11-30
"1065",2019-12-01
"1066",2019-12-02
"1067",2019-12-03
"1068",2019-12-04
"1069",2019-12-05
"1070",2019-12-06
"1071",2019-12-07
"1072",2019-12-08
"1073",2019-12-09
"1074",2019-12-10
"1075",2019-12-11
"1076",2019-12-12
"1077",2019-12-13
"1078",2019-12-14
"1079",2019-12-15
"1080",2019-12-16
"1081",2019-12-17
"1082",2019-12-18
"1083",2019-12-19
"1084",2019-12-20
"1085",2019-12-21
"1086",2019-12-22
"1087",2019-12-23
"1088",2019-12-24
"1089",2019-12-25
"1090",2019-12-26
"1091",2019-12-27
"1092",2019-12-28
"1093",2019-12-29
"1094",2019-12-30
"1095",2019-12-31
